Annee;Reference_SMIC €;;;;;;;;;;;;;
1963;30.49;;;;;;;;;;;;;
1964;34.3;;;;;;;;;;;;;
1965;38.11;;;;;;;;;;;;;
1966;43.83;;;;;;;;;;;;;
1967;49.55;;;;;;;;;;;;;
1968;55.26;;;;;;;;;;;;;
1969;59.07;;;;;;;;;;;;;
1970;62.89;;;;;;;;;;;;;
1971;66.7;;;;;;;;;;;;;
1972;120.13;;;;;;;;;;;;;
1973;138.73;;;;;;;;;;;;;
1974;165.56;;;;;;;;;;;;;
1975;205.81;;;;;;;;;;;;;
1976;240.56;;;;;;;;;;;;;
1977;272.58;;;;;;;;;;;;;
1978;306.73;;;;;;;;;;;;;
1979;344.84;;;;;;;;;;;;;
1980;394;;;;;;;;;;;;;
1981;451;;;;;;;;;;;;;
1982;553;;;;;;;;;;;;;
1983;619;;;;;;;;;;;;;s
1984;695;;;;;;;;;;;;;
1985;743;;;;;;;;;;;;;
1986;794;;;;;;;;;;;;;
1987;821;;;;;;;;;;;;;
1988;849;;;;;;;;;;;;;
1989;877;;;;;;;;;;;;;
1990;912;;;;;;;;;;;;;
1991;974;;;;;;;;;;;;;
1992;996;;;;;;;;;;;;;
1993;1 038,00;;;;;;;;;;;;;
1994;1 062,00;;;;;;;;;;;;;
1995;1 084,00;;;;;;;;;;;;;
1996;1 128,00;;;;;;;;;;;;;
1997;1 156,00;;;;;;;;;;;;;
1998;1 202,00;;;;;;;;;;;;;
1999;1 226,00;;;;;;;;;;;;;
2000;1 242,00;;;;;;;;;;;;;
2001;1 281,00;;;;;;;;;;;;;
2002;1 334,00;;;;;;;;;;;;;
2003;1 366,00;;;;;;;;;;;;;
2004;1 438,00;;;;;;;;;;;;;
2005;1 522,00;;;;;;;;;;;;;
2006;1 606,00;;;;;;;;;;;;;
2007;1 654,00;;;;;;;;;;;;;
2008;1 688,00;;;;;;;;;;;;;
2009;1 742,00;;;;;;;;;;;;;
2010;1 772,00;;;;;;;;;;;;;
2011;1 800,00;;;;;;;;;;;;;
2012;1 844,00;;;;;;;;;;;;;
2013;1 886,00;;;;;;;;;;;;;
2014;1429.5;;;;;;;;;;;;;
2015;1441.5;;;;;;;;;;;;;
2016;1450.5;;;;;;;;;;;;;
2017;1 464,00;;;;;;;;;;;;;
2018;1 482,00;;;;;;;;;;;;;
2019;1504.5;;;;;;;;;;;;;
2020;1522.5;;;;;;;;;;;;;
2021;1537.5;;;;;;;;;;;;;
2022;1585.5;;;;;;;;;;;;;
2023;1690.5;;;;;;;;;;;;;
2024;1747.5;;;;;;;;;;;;;
2025;1747.5;;;;;;;;;;;;;
2026;1747.5;;;;;;;;;;;;;
2027;1747.5;;;;;;;;;;;;;
2028;1747.5;;;;;;;;;;;;;
2029;1747.5;;;;;;;;;;;;;
2030;1747.5;;;;;;;;;;;;;
2031;1747.5;;;;;;;;;;;;;
2032;1747.5;;;;;;;;;;;;;
2033;1747.5;;;;;;;;;;;;;
2034;1747.5;;;;;;;;;;;;;
2035;1747.5;;;;;;;;;;;;;
2036;1747.5;;;;;;;;;;;;;
2037;1747.5;;;;;;;;;;;;;
2038;1747.5;;;;;;;;;;;;;
2039;1747.5;;;;;;;;;;;;;
2040;1747.5;;;;;;;;;;;;;
2041;1747.5;;;;;;;;;;;;;
2042;1747.5;;;;;;;;;;;;;
2043;1747.5;;;;;;;;;;;;;
2044;1747.5;;;;;;;;;;;;;
2045;1747.5;;;;;;;;;;;;;
2046;1747.5;;;;;;;;;;;;;
2047;1747.5;;;;;;;;;;;;;
2048;1747.5;;;;;;;;;;;;;
2049;1747.5;;;;;;;;;;;;;
2050;1747.5;;;;;;;;;;;;;
2051;1747.5;;;;;;;;;;;;;
2052;1747.5;;;;;;;;;;;;;
2053;1747.5;;;;;;;;;;;;;
2054;1747.5;;;;;;;;;;;;;
2055;1747.5;;;;;;;;;;;;;
2056;1747.5;;;;;;;;;;;;;
2057;1747.5;;;;;;;;;;;;;
2058;1747.5;;;;;;;;;;;;;
2059;1747.5;;;;;;;;;;;;;
2060;1747.5;;;;;;;;;;;;;
2061;1747.5;;;;;;;;;;;;;
2062;1747.5;;;;;;;;;;;;;
2063;1747.5;;;;;;;;;;;;;
2064;1747.5;;;;;;;;;;;;;
2065;1747.5;;;;;;;;;;;;;
2066;1747.5;;;;;;;;;;;;;
2067;1747.5;;;;;;;;;;;;;
2068;1747.5;;;;;;;;;;;;;
2069;1747.5;;;;;;;;;;;;;
2070;1747.5;;;;;;;;;;;;;
2071;1747.5;;;;;;;;;;;;;
2072;1747.5;;;;;;;;;;;;;
2073;1747.5;;;;;;;;;;;;;
2074;1747.5;;;;;;;;;;;;;
2075;1747.5;;;;;;;;;;;;;
2076;1747.5;;;;;;;;;;;;;
2077;1747.5;;;;;;;;;;;;;
2078;1747.5;;;;;;;;;;;;;
2079;1747.5;;;;;;;;;;;;;
2080;1747.5;;;;;;;;;;;;;
2081;1747.5;;;;;;;;;;;;;
2082;1747.5;;;;;;;;;;;;;
2083;1747.5;;;;;;;;;;;;;
2084;1747.5;;;;;;;;;;;;;
2085;1747.5;;;;;;;;;;;;;
2086;1747.5;;;;;;;;;;;;;
2087;1747.5;;;;;;;;;;;;;
2088;1747.5;;;;;;;;;;;;;
2089;1747.5;;;;;;;;;;;;;
2090;1747.5;;;;;;;;;;;;;
2091;1747.5;;;;;;;;;;;;;
2092;1747.5;;;;;;;;;;;;;
2093;1747.5;;;;;;;;;;;;;
2094;1747.5;;;;;;;;;;;;;
2095;1747.5;;;;;;;;;;;;;
2096;1747.5;;;;;;;;;;;;;
2097;1747.5;;;;;;;;;;;;;
2098;1747.5;;;;;;;;;;;;;
2099;1747.5;;;;;;;;;;;;;
2100;1747.5;;;;;;;;;;;;;
2101;1747.5;;;;;;;;;;;;;
2102;1747.5;;;;;;;;;;;;;
2103;1747.5;;;;;;;;;;;;;
2104;1747.5;;;;;;;;;;;;;
2105;1747.5;;;;;;;;;;;;;
